id_solicitud,descripción_solicitud,fecha_solicitud,fecha_firma,id_cliente
SOL-1001,Desarrollo de sistema a medida,2023-05-02,2023-05-07,2
SOL-1002,Desarrollo de sistema a medida,2025-04-05,2025-04-12,3
SOL-1003,Desarrollo de sistema a medida,2022-07-17,2022-07-23,3
SOL-1004,Evaluación de satisfacción del cliente,2024-09-12,2024-10-04,1
SOL-1005,Implementación de redes locales,2022-01-13,2022-01-18,4
SOL-1006,Revisión de contrato marco,2022-06-01,2022-06-08,2
SOL-1007,Consultoría para digitalización,2023-11-29,2023-12-26,4
SOL-1008,Instalación de cableado estructurado,2023-01-09,2023-01-28,4
SOL-1009,Desarrollo de sistema a medida,2020-11-13,2020-12-04,5
SOL-1010,Instalación de cableado estructurado,2023-09-30,2023-10-18,5
SOL-1011,Consultoría para digitalización,2023-08-04,2023-08-06,3
SOL-1012,Mantenimiento de servidores antiguos,2023-12-10,2024-01-05,4
SOL-1013,Auditoría de procesos internos,2024-04-30,2024-05-10,1
SOL-1014,Capacitación técnica al personal,2023-12-04,2023-12-08,2
SOL-1015,Revisión de contrato marco,2021-03-12,2021-03-21,1
SOL-1016,Consultoría para digitalización,2022-09-09,2022-09-10,5
SOL-1017,Evaluación de satisfacción del cliente,2022-03-22,2022-03-26,3
SOL-1018,Desarrollo de sistema a medida,2020-12-27,2021-01-10,4
SOL-1019,Desarrollo de sistema a medida,2024-11-29,2024-12-01,3
SOL-1020,Consultoría para digitalización,2022-10-04,2022-10-17,4
SOL-1021,Instalación de cableado estructurado,2024-12-02,2024-12-29,3
SOL-1022,Desarrollo de sistema a medida,2022-05-19,2022-06-13,2
SOL-1023,Evaluación de satisfacción del cliente,2020-07-27,2020-08-04,2
SOL-1024,Auditoría de procesos internos,2020-09-15,2020-09-21,2
SOL-1025,Implementación de redes locales,2020-08-14,2020-09-12,1
SOL-1026,Auditoría de procesos internos,2023-04-07,2023-05-07,4
SOL-1027,Auditoría de procesos internos,2023-08-18,2023-09-05,1
SOL-1028,Instalación de cableado estructurado,2021-10-01,2021-10-25,3
SOL-1029,Revisión de contrato marco,2025-02-03,2025-02-05,3
SOL-1030,Revisión de contrato marco,2022-06-29,2022-07-16,5
SOL-1031,Instalación de cableado estructurado,2022-11-15,2022-11-16,5
SOL-1032,Actualización de sistema contable,2023-10-24,2023-11-15,4
SOL-1033,Actualización de sistema contable,2021-02-21,2021-03-21,4
SOL-1034,Capacitación técnica al personal,2023-01-11,2023-02-10,2
SOL-1035,Evaluación de satisfacción del cliente,2023-12-02,2023-12-04,1
SOL-1036,Evaluación de satisfacción del cliente,2020-04-09,2020-05-03,2
SOL-1037,Actualización de sistema contable,2021-11-06,2021-11-14,2
SOL-1038,Evaluación de satisfacción del cliente,2024-08-21,2024-09-20,4
SOL-1039,Evaluación de satisfacción del cliente,2023-05-12,2023-06-02,4
SOL-1040,Instalación de cableado estructurado,2024-09-05,2024-09-09,5
SOL-1041,Capacitación técnica al personal,2021-03-10,2021-04-02,4
SOL-1042,Evaluación de satisfacción del cliente,2023-10-05,2023-10-19,3
SOL-1043,Implementación de redes locales,2022-10-31,2022-11-25,2
SOL-1044,Instalación de cableado estructurado,2020-02-09,2020-03-10,2
SOL-1045,Mantenimiento de servidores antiguos,2021-06-14,2021-07-05,5
SOL-1046,Revisión de contrato marco,2022-02-17,2022-02-17,5
SOL-1047,Consultoría para digitalización,2021-11-01,2021-11-20,1
SOL-1048,Desarrollo de sistema a medida,2021-07-07,2021-07-22,2
SOL-1049,Auditoría de procesos internos,2023-11-29,2023-12-29,2
SOL-1050,Actualización de sistema contable,2024-04-25,2024-05-14,3
SOL-1051,Evaluación de satisfacción del cliente,2020-05-09,2020-06-03,1
SOL-1052,Desarrollo de sistema a medida,2024-03-20,2024-03-26,4
SOL-1053,Actualización de sistema contable,2023-01-14,2023-01-22,5
SOL-1054,Instalación de cableado estructurado,2023-07-07,2023-08-03,3
SOL-1055,Capacitación técnica al personal,2020-07-16,2020-07-20,1
SOL-1056,Evaluación de satisfacción del cliente,2022-09-26,2022-10-23,1
SOL-1057,Mantenimiento de servidores antiguos,2021-09-26,2021-10-25,5
SOL-1058,Implementación de redes locales,2025-03-09,2025-03-24,4
SOL-1059,Revisión de contrato marco,2023-03-26,2023-03-30,1
SOL-1060,Evaluación de satisfacción del cliente,2021-12-10,2021-12-26,2
SOL-1061,Revisión de contrato marco,2024-03-04,2024-03-24,4
SOL-1062,Capacitación técnica al personal,2021-06-22,2021-07-18,4
SOL-1063,Actualización de sistema contable,2025-04-09,2025-05-07,3
SOL-1064,Instalación de cableado estructurado,2023-11-10,2023-12-03,2
SOL-1065,Revisión de contrato marco,2020-10-05,2020-10-06,3
SOL-1066,Actualización de sistema contable,2023-02-18,2023-03-03,4
SOL-1067,Desarrollo de sistema a medida,2021-09-21,2021-09-23,5
SOL-1068,Capacitación técnica al personal,2023-04-13,2023-05-01,2
SOL-1069,Evaluación de satisfacción del cliente,2025-04-01,2025-04-28,1
SOL-1070,Instalación de cableado estructurado,2022-08-28,2022-09-02,1
SOL-1071,Evaluación de satisfacción del cliente,2024-12-28,2024-12-31,2
SOL-1072,Desarrollo de sistema a medida,2021-06-10,2021-07-08,5
SOL-1073,Auditoría de procesos internos,2024-05-05,2024-05-06,1
SOL-1074,Consultoría para digitalización,2022-09-28,2022-10-25,1
SOL-1075,Actualización de sistema contable,2023-09-21,2023-09-29,1
SOL-1076,Revisión de contrato marco,2021-04-02,2021-05-02,2
SOL-1077,Evaluación de satisfacción del cliente,2021-09-22,2021-10-01,5
SOL-1078,Mantenimiento de servidores antiguos,2021-01-24,2021-02-09,1
SOL-1079,Instalación de cableado estructurado,2021-12-31,2022-01-29,1
SOL-1080,Actualización de sistema contable,2021-03-26,2021-03-27,5
SOL-1081,Mantenimiento de servidores antiguos,2024-09-06,2024-09-14,3
SOL-1082,Consultoría para digitalización,2025-02-20,2025-03-18,1
SOL-1083,Desarrollo de sistema a medida,2025-03-20,2025-03-29,3
SOL-1084,Auditoría de procesos internos,2022-04-01,2022-04-16,1
SOL-1085,Consultoría para digitalización,2020-06-09,2020-07-04,4
SOL-1086,Desarrollo de sistema a medida,2020-12-20,2020-12-23,4
SOL-1087,Actualización de sistema contable,2023-03-30,2023-04-16,3
SOL-1088,Implementación de redes locales,2022-06-03,2022-06-27,1
SOL-1089,Implementación de redes locales,2020-10-02,2020-10-22,4
SOL-1090,Revisión de contrato marco,2020-10-08,2020-10-20,1
SOL-1091,Evaluación de satisfacción del cliente,2021-12-01,2021-12-19,3
SOL-1092,Actualización de sistema contable,2024-03-03,2024-03-29,4
SOL-1093,Mantenimiento de servidores antiguos,2023-11-16,2023-12-08,3
SOL-1094,Consultoría para digitalización,2022-02-27,2022-03-13,5
SOL-1095,Actualización de sistema contable,2022-02-17,2022-03-10,3
SOL-1096,Revisión de contrato marco,2023-12-24,2024-01-16,2
SOL-1097,Actualización de sistema contable,2024-02-09,2024-02-16,3
SOL-1098,Revisión de contrato marco,2023-08-17,2023-08-26,1
SOL-1099,Consultoría para digitalización,2024-10-01,2024-10-08,3
SOL-1100,Actualización de sistema contable,2023-05-14,2023-05-18,2
SOL-1101,Capacitación técnica al personal,2023-10-31,2023-11-19,4
SOL-1102,Auditoría de procesos internos,2022-07-14,2022-07-27,4
SOL-1103,Revisión de contrato marco,2022-05-04,2022-05-09,4
SOL-1104,Revisión de contrato marco,2023-12-30,2023-12-31,3
SOL-1105,Auditoría de procesos internos,2025-03-08,2025-04-04,3
SOL-1106,Auditoría de procesos internos,2022-08-12,2022-09-05,4
SOL-1107,Auditoría de procesos internos,2021-09-01,2021-09-30,5
SOL-1108,Mantenimiento de servidores antiguos,2021-07-23,2021-08-07,1
SOL-1109,Capacitación técnica al personal,2021-12-03,2021-12-20,4
SOL-1110,Auditoría de procesos internos,2022-02-08,2022-03-02,5
SOL-1111,Evaluación de satisfacción del cliente,2024-08-09,2024-09-04,2
SOL-1112,Auditoría de procesos internos,2024-11-27,2024-12-22,5
SOL-1113,Consultoría para digitalización,2022-09-21,2022-09-26,3
SOL-1114,Consultoría para digitalización,2022-10-16,2022-10-22,3
SOL-1115,Capacitación técnica al personal,2024-05-27,2024-06-23,1
SOL-1116,Revisión de contrato marco,2022-01-13,2022-02-09,1
SOL-1117,Evaluación de satisfacción del cliente,2023-01-26,2023-02-20,3
SOL-1118,Revisión de contrato marco,2022-07-11,2022-07-14,4
SOL-1119,Desarrollo de sistema a medida,2023-07-28,2023-08-14,4
SOL-1120,Auditoría de procesos internos,2021-07-04,2021-07-25,2
SOL-1121,Capacitación técnica al personal,2021-03-10,2021-03-29,5
SOL-1122,Actualización de sistema contable,2023-09-08,2023-09-10,2
SOL-1123,Instalación de cableado estructurado,2024-01-27,2024-02-10,3
SOL-1124,Implementación de redes locales,2023-01-23,2023-02-18,4
SOL-1125,Capacitación técnica al personal,2023-03-12,2023-03-13,2
SOL-1126,Actualización de sistema contable,2023-06-18,2023-07-07,5
SOL-1127,Consultoría para digitalización,2024-01-14,2024-02-04,1
SOL-1128,Implementación de redes locales,2020-04-22,2020-05-05,5
SOL-1129,Desarrollo de sistema a medida,2021-03-02,2021-03-15,4
SOL-1130,Consultoría para digitalización,2021-01-01,2021-01-26,2
SOL-1131,Instalación de cableado estructurado,2024-05-02,2024-05-15,2
SOL-1132,Actualización de sistema contable,2024-09-21,2024-10-05,4
SOL-1133,Mantenimiento de servidores antiguos,2021-11-22,2021-12-21,2
SOL-1134,Consultoría para digitalización,2022-04-11,2022-04-19,2
SOL-1135,Evaluación de satisfacción del cliente,2023-05-09,2023-05-09,2
SOL-1136,Auditoría de procesos internos,2022-08-14,2022-08-23,2
SOL-1137,Implementación de redes locales,2025-03-14,2025-04-11,3
SOL-1138,Implementación de redes locales,2022-09-24,2022-10-08,3
SOL-1139,Actualización de sistema contable,2023-03-03,2023-03-18,5
SOL-1140,Mantenimiento de servidores antiguos,2020-02-05,2020-02-25,4
SOL-1141,Revisión de contrato marco,2022-08-08,2022-08-17,2
SOL-1142,Actualización de sistema contable,2020-06-06,2020-07-05,4
SOL-1143,Desarrollo de sistema a medida,2024-07-26,2024-08-21,5
SOL-1144,Revisión de contrato marco,2022-03-23,2022-04-22,5
SOL-1145,Actualización de sistema contable,2023-02-21,2023-02-25,1
SOL-1146,Evaluación de satisfacción del cliente,2024-01-29,2024-02-19,3
SOL-1147,Mantenimiento de servidores antiguos,2023-07-19,2023-08-02,5
SOL-1148,Desarrollo de sistema a medida,2024-01-04,2024-02-03,5
SOL-1149,Consultoría para digitalización,2020-06-29,2020-07-09,3
SOL-1150,Capacitación técnica al personal,2020-11-28,2020-12-04,2
SOL-1151,Mantenimiento de servidores antiguos,2023-03-28,2023-04-06,4
SOL-1152,Revisión de contrato marco,2023-06-30,2023-07-27,3
SOL-1153,Revisión de contrato marco,2024-12-28,2025-01-27,5
SOL-1154,Instalación de cableado estructurado,2023-05-23,2023-06-08,5
SOL-1155,Actualización de sistema contable,2023-11-28,2023-12-24,5
SOL-1156,Actualización de sistema contable,2024-07-14,2024-08-01,5
SOL-1157,Instalación de cableado estructurado,2021-10-25,2021-11-15,3
SOL-1158,Mantenimiento de servidores antiguos,2021-04-27,2021-05-23,2
SOL-1159,Instalación de cableado estructurado,2022-02-27,2022-03-26,1
SOL-1160,Consultoría para digitalización,2024-06-15,2024-07-14,1
SOL-1161,Actualización de sistema contable,2020-10-22,2020-11-18,2
