cod_contrato,nombre_contrato,monto,contenido,condiciones_contrato,id_contrato,fecha_contrato,id_version,id_solicitud
1,Contrato de Soporte,32865.57,Se describen las responsabilidades mutuas en torno a contrato de soporte.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,1,2020-03-03,8,SOL-4180
2,Acuerdo de Servicio,37223.44,El objetivo principal es regular acuerdo de servicio bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Confidencialidad y no divulgación de información.,2,2021-08-26,40,SOL-4399
3,Contrato de Arrendamiento,8103.36,El objetivo principal es regular contrato de arrendamiento bajo las condiciones acordadas.,Penalización del 5% por retrasos en la entrega. Rescisión con preaviso de 60 días.,3,2020-02-15,1,SOL-5848
4,Contrato de Arrendamiento,83261.94,El objetivo principal es regular contrato de arrendamiento bajo las condiciones acordadas.,Garantía de 12 meses para el servicio prestado. Rescisión con preaviso de 60 días.,4,2024-03-05,49,SOL-2660
5,Contrato de Mantenimiento,40367.24,Este contrato establece los términos para contrato de mantenimiento.,Confidencialidad y no divulgación de información. Rescisión con preaviso de 60 días.,5,2020-03-17,26,SOL-3353
6,Contrato de Suministro,90450.34,El objetivo principal es regular contrato de suministro bajo las condiciones acordadas.,Pago dentro de 30 días tras la recepción de la factura. Revisión trimestral de cumplimiento de KPI.,6,2022-09-13,15,SOL-5190
7,Contrato de Consultoría,43836.27,Las partes acuerdan ejecutar contrato de consultoría según lo pactado.,Actualización de precios anual previa negociación. Rescisión con preaviso de 60 días.,7,2021-02-08,1,SOL-2600
8,Contrato de Desarrollo,78204.0,Las partes acuerdan ejecutar contrato de desarrollo según lo pactado.,Confidencialidad y no divulgación de información. Pago dentro de 30 días tras la recepción de la factura.,8,2021-08-10,10,SOL-6741
9,Contrato de Suministro,20867.3,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Penalización del 5% por retrasos en la entrega. Garantía de 12 meses para el servicio prestado.,9,2022-07-13,13,SOL-4694
10,Contrato de Mantenimiento,2266.68,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Penalización del 5% por retrasos en la entrega. Pago dentro de 30 días tras la recepción de la factura.,10,2024-06-02,11,SOL-6611
11,Contrato de Arrendamiento,74778.23,El objetivo principal es regular contrato de arrendamiento bajo las condiciones acordadas.,Penalización del 5% por retrasos en la entrega. Actualización de precios anual previa negociación.,11,2023-03-06,47,SOL-4763
12,Contrato de Suministro,52671.2,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Actualización de precios anual previa negociación. Rescisión con preaviso de 60 días.,12,2023-12-05,17,SOL-4256
13,Contrato de Soporte,49765.97,Este contrato establece los términos para contrato de soporte.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,13,2020-01-29,21,SOL-8878
14,Convenio de Licencia,52922.89,Se definen las obligaciones relativas a convenio de licencia y su cronograma.,Pago dentro de 30 días tras la recepción de la factura. Actualización de precios anual previa negociación.,14,2022-02-26,46,SOL-3936
15,Contrato de Soporte,35397.47,Se definen las obligaciones relativas a contrato de soporte y su cronograma.,Confidencialidad y no divulgación de información. Penalización del 5% por retrasos en la entrega.,15,2022-02-22,11,SOL-2152
16,Acuerdo de Servicio,48950.88,Se describen las responsabilidades mutuas en torno a acuerdo de servicio.,Penalización del 5% por retrasos en la entrega. Confidencialidad y no divulgación de información.,16,2020-10-06,9,SOL-1698
17,Contrato de Suministro,38166.56,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Actualización de precios anual previa negociación. Garantía de 12 meses para el servicio prestado.,17,2022-07-31,7,SOL-6192
18,Acuerdo de Servicio,79806.45,El objetivo principal es regular acuerdo de servicio bajo las condiciones acordadas.,Penalización del 5% por retrasos en la entrega. Garantía de 12 meses para el servicio prestado.,18,2021-07-29,21,SOL-8701
19,Contrato de Suministro,32541.15,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Pago dentro de 30 días tras la recepción de la factura. Penalización del 5% por retrasos en la entrega.,19,2023-02-13,13,SOL-8499
20,Acuerdo de Servicio,34935.2,Este contrato establece los términos para acuerdo de servicio.,Revisión trimestral de cumplimiento de KPI. Pago dentro de 30 días tras la recepción de la factura.,20,2024-04-04,26,SOL-4734
21,Acuerdo de Servicio,10955.08,Se definen las obligaciones relativas a acuerdo de servicio y su cronograma.,Rescisión con preaviso de 60 días. Confidencialidad y no divulgación de información.,21,2021-07-20,47,SOL-5103
22,Contrato de Suministro,25263.76,Las partes acuerdan ejecutar contrato de suministro según lo pactado.,Pago dentro de 30 días tras la recepción de la factura. Confidencialidad y no divulgación de información.,22,2020-02-19,49,SOL-3880
23,Contrato de Distribución,32919.53,Se describen las responsabilidades mutuas en torno a contrato de distribución.,Penalización del 5% por retrasos en la entrega. Revisión trimestral de cumplimiento de KPI.,23,2022-02-26,14,SOL-8822
24,Contrato de Distribución,86883.99,Se definen las obligaciones relativas a contrato de distribución y su cronograma.,Rescisión con preaviso de 60 días. Pago dentro de 30 días tras la recepción de la factura.,24,2020-03-02,41,SOL-2221
25,Contrato de Suministro,92183.45,Se describen las responsabilidades mutuas en torno a contrato de suministro.,Rescisión con preaviso de 60 días. Pago dentro de 30 días tras la recepción de la factura.,25,2021-06-09,18,SOL-2147
26,Contrato de Compra-Venta,94427.35,Este contrato establece los términos para contrato de compra-venta.,Rescisión con preaviso de 60 días. Garantía de 12 meses para el servicio prestado.,26,2021-01-13,46,SOL-8163
27,Contrato de Mantenimiento,51924.47,Se definen las obligaciones relativas a contrato de mantenimiento y su cronograma.,Rescisión con preaviso de 60 días. Actualización de precios anual previa negociación.,27,2023-03-15,30,SOL-6052
28,Contrato de Arrendamiento,53977.27,Este contrato establece los términos para contrato de arrendamiento.,Confidencialidad y no divulgación de información. Rescisión con preaviso de 60 días.,28,2021-12-08,29,SOL-6343
29,Contrato de Arrendamiento,88720.71,Las partes acuerdan ejecutar contrato de arrendamiento según lo pactado.,Pago dentro de 30 días tras la recepción de la factura. Revisión trimestral de cumplimiento de KPI.,29,2020-08-20,35,SOL-9801
30,Contrato de Soporte,41841.61,El objetivo principal es regular contrato de soporte bajo las condiciones acordadas.,Actualización de precios anual previa negociación. Revisión trimestral de cumplimiento de KPI.,30,2022-03-18,21,SOL-4535
31,Contrato de Soporte,49472.44,Se definen las obligaciones relativas a contrato de soporte y su cronograma.,Penalización del 5% por retrasos en la entrega. Confidencialidad y no divulgación de información.,31,2024-05-07,37,SOL-6127
32,Acuerdo de Servicio,66415.66,Las partes acuerdan ejecutar acuerdo de servicio según lo pactado.,Confidencialidad y no divulgación de información. Garantía de 12 meses para el servicio prestado.,32,2022-11-24,34,SOL-4514
33,Contrato de Distribución,2445.91,Este contrato establece los términos para contrato de distribución.,Garantía de 12 meses para el servicio prestado. Penalización del 5% por retrasos en la entrega.,33,2023-07-23,22,SOL-1112
34,Contrato de Mantenimiento,80477.59,Se describen las responsabilidades mutuas en torno a contrato de mantenimiento.,Garantía de 12 meses para el servicio prestado. Actualización de precios anual previa negociación.,34,2022-09-08,21,SOL-3415
35,Contrato de Soporte,49009.59,Se describen las responsabilidades mutuas en torno a contrato de soporte.,Confidencialidad y no divulgación de información. Actualización de precios anual previa negociación.,35,2020-05-24,18,SOL-6257
36,Acuerdo de Servicio,20516.9,Las partes acuerdan ejecutar acuerdo de servicio según lo pactado.,Rescisión con preaviso de 60 días. Pago dentro de 30 días tras la recepción de la factura.,36,2021-03-24,34,SOL-7609
37,Contrato de Compra-Venta,13244.88,Se describen las responsabilidades mutuas en torno a contrato de compra-venta.,Actualización de precios anual previa negociación. Rescisión con preaviso de 60 días.,37,2020-09-11,2,SOL-4328
